# context<TAB>next_word<TAB>weight
what	does	1000
what	is	950
what	are	900
what	do	850
what	did	800
what	can	760
what	would	720
what	about	680
what does	the	1000
what does	it	700
what does	this	650
what does	that	620
what does the	fox	1000
what does the	world	600
what does the	system	580
what does the	app	560
what does the fox	say	1000
does the	fox	900
does the	system	700
does the	app	650
the fox	say	1000
how	are	1000
how	do	950
how	does	900
how	can	850
how	much	800
how	many	760
how	long	720
how are	you	1000
how are	things	700
how are you	doing	1000
i	am	1000
i	think	950
i	want	900
i	need	880
i	have	850
i	would	820
i	can	780
i	will	740
i would	like	1000
i would	prefer	700
i would like	to	1000
would like	to	1000
like to	know	900
like to	see	850
like to	make	780
like to	ask	740
i want	to	1000
want to	know	950
want to	see	900
want to	go	850
want to	make	800
i need	to	1000
i need	help	850
i need	more	700
need to	know	950
need to	make	850
need to	check	800
can	you	1000
can	we	900
can	i	850
can	this	700
can you	help	1000
can you	please	950
can you	tell	900
can you	show	850
can you	explain	800
can you please	help	1000
can you please	check	850
can you please	send	800
do	you	1000
do	we	850
do	i	800
do	not	750
do	it	700
do you	want	1000
do you	know	950
do you	think	900
do you	have	850
do you	need	800
do you want	to	1000
you	are	1000
you	can	900
you	have	850
you	should	800
you	will	750
you	need	700
you are	right	900
you are	welcome	850
you are	going	800
are	you	1000
are	we	850
are	there	800
are you	sure	1000
are you	ready	900
are you	available	850
are you	going	800
where	are	1000
where	is	950
where	can	850
where	do	800
where	did	750
where are	you	1000
where are	we	800
where are	the	750
where are you	going	1000
when	is	1000
when	are	900
when	do	850
when	did	800
when	can	750
when	will	700
why	is	1000
why	are	950
why	do	900
why	does	850
why	did	800
why	can	750
this	is	1000
this	was	850
this	will	800
this	can	750
this	should	700
this is	a	1000
this is	the	900
this is	not	850
this is	what	800
it	is	1000
it	was	900
it	will	850
it	can	800
it	does	750
it is	a	1000
it is	the	900
it is	not	850
it is	very	800
there	is	1000
there	are	950
there	was	800
there	were	750
there is	a	1000
there is	no	900
there is	the	800
there are	many	900
there are	some	850
there are	no	800
we	are	1000
we	can	900
we	have	850
we	need	800
we	should	750
we	will	700
we need	to	1000
we need	more	800
we have	to	1000
we have	a	850
we have	the	800
thank	you	1000
thank you	for	1000
thank you	so	850
thank you for	your	1000
thank you for	the	900
thank you for	help	850
thanks	for	1000
thanks	again	850
good	morning	1000
good	afternoon	900
good	evening	850
good	luck	800
good	idea	750
good	question	700
good morning	everyone	1000
have	a	1000
have	you	900
have	to	850
have	been	800
have a	good	1000
have a	nice	900
have a	great	850
have a good	day	1000
have a good	time	850
have a good	night	800
nice	to	1000
nice to	meet	1000
nice to	see	850
nice to meet	you	1000
please	let	1000
please	check	900
please	send	850
please	tell	800
please let	me	1000
please let	us	850
let	me	1000
let	us	900
let	it	800
let me	know	1000
let me	check	900
let me	see	850
let me	explain	800
could	you	1000
could	we	850
could	i	800
could you	please	1000
could you	help	950
could you	tell	850
would	you	1000
would	like	900
would	be	800
would you	like	1000
would you	mind	850
would you	please	800
would you like	to	1000
the	best	1000
the	same	950
the	next	900
the	first	850
the	new	800
the	user	750
the	system	700
the	problem	650
for	the	1000
for	a	900
for	your	850
for	this	800
for the	first	1000
for the	next	900
for the	same	850
for the	user	800
to	the	1000
to	a	900
to	be	850
to	do	800
to	make	750
to	get	700
to	see	650
of	the	1000
of	a	850
of	this	800
in	the	1000
in	a	900
in	this	800
on	the	1000
on	a	850
on	this	800
with	the	1000
with	a	900
with	your	850
is	the	1000
is	a	950
is	this	900
is	that	850
is	it	800
is	not	750
is the	best	1000
is the	same	900
is the	problem	850
is the	user	800
